x=1, f1=10, f2=5, f3=1, f4=1, f5=1, f6=14, f7=10, f8=0.8414709848078965, f9=0.8414709848078965, f10=104
x=25, f1=802, f2=77, f3=625, f4=15625, f5=9765625, f6=16910, f7=344986, f8=-0.13235175009777303, f9=-3.3087937524443256, f10=11342600
x=26, f1=860, f2=80, f3=676, f4=17576, f5=11881376, f6=18964, f7=405585, f8=0.7625584504796027, f9=19.82651971246967, f10=13725604
x=27, f1=920, f2=83, f3=729, f4=19683, f5=14348907, f6=21178, f7=473834, f8=0.956375928404503, f9=25.82215006692158, f10=16492996
x=28, f1=982, f2=86, f3=784, f4=21952, f5=17210368, f6=23558, f7=550351, f8=0.27090578830786904, f9=7.585362072620333, f10=19689476
x=29, f1=1046, f2=89, f3=841, f4=24389, f5=20511149, f6=26110, f7=635778, f8=-0.6636338842129675, f9=-19.245382642176057, f10=23363080
x=30, f1=1112, f2=92, f3=900, f4=27000, f5=24300000, f6=28840, f7=730781, f8=-0.9880316240928618, f9=-29.640948722785854, f10=27565300
x=31, f1=1180, f2=95, f3=961, f4=29791, f5=28629151, f6=31754, f7=836050, f8=-0.404037645323065, f9=-12.525167005015016, f10=32351204
x=32, f1=1250, f2=98, f3=1024, f4=32768, f5=33554432, f6=34858, f7=952299, f8=0.5514266812416906, f9=17.6456537997341, f10=37779556
x=33, f1=1322, f2=101, f3=1089, f4=35937, f5=39135393, f6=38158, f7=1080266, f8=0.9999118601072672, f9=32.99709138353982, f10=43912936
x=34, f1=1396, f2=104, f3=1156, f4=39304, f5=45435424, f6=41660, f7=1220713, f8=0.5290826861200238, f9=17.98881132808081, f10=50817860
x=35, f1=1472, f2=107, f3=1225, f4=42875, f5=52521875, f6=45370, f7=1374426, f8=-0.428182669496151, f9=-14.986393432365286, f10=58564900
x=36, f1=1550, f2=110, f3=1296, f4=46656, f5=60466176, f6=49294, f7=1542215, f8=-0.9917788534431158, f9=-35.704038723952166, f10=67228804
x=37, f1=1630, f2=113, f3=1369, f4=50653, f5=69343957, f6=53438, f7=1724914, f8=-0.6435381333569995, f9=-23.81091093420898, f10=76888616
x=38, f1=1712, f2=116, f3=1444, f4=54872, f5=79235168, f6=57808, f7=1923381, f8=0.2963685787093853, f9=11.262005990956641, f10=87627796
x=39, f1=1796, f2=119, f3=1521, f4=59319, f5=90224199, f6=62410, f7=2138498, f8=0.9637953862840878, f9=37.58802006507943, f10=99534340
x=40, f1=1882, f2=122, f3=1600, f4=64000, f5=102400000, f6=67250, f7=2371171, f8=0.7451131604793488, f9=29.804526419173953, f10=112700900
x=41, f1=1970, f2=125, f3=1681, f4=68921, f5=115856201, f6=72334, f7=2622330, f8=-0.158622668804709, f9=-6.503529420993068, f10=127224904
x=42, f1=2060, f2=128, f3=1764, f4=74088, f5=130691232, f6=77668, f7=2892929, f8=-0.9165215479156338, f9=-38.49390501245662, f10=143208676
x=43, f1=2152, f2=131, f3=1849, f4=79507, f5=147008443, f6=83258, f7=3183946, f8=-0.8317747426285983, f9=-35.76631393302973, f10=160759556
x=44, f1=2246, f2=134, f3=1936, f4=85184, f5=164916224, f6=89110, f7=3496383, f8=0.017701925105413577, f9=0.7788847046381974, f10=179990020
x=45, f1=2342, f2=137, f3=2025, f4=91125, f5=184528125, f6=95230, f7=3831266, f8=0.8509035245341184, f9=38.29065860403533, f10=201017800
x=46, f1=2440, f2=140, f3=2116, f4=97336, f5=205962976, f6=101624, f7=4189645, f8=0.9017883476488092, f9=41.48226399184522, f10=223966004
x=47, f1=2540, f2=143, f3=2209, f4=103823, f5=229345007, f6=108298, f7=4572594, f8=0.123573122745224, f9=5.807936769025528, f10=248963236
x=48, f1=2642, f2=146, f3=2304, f4=110592, f5=254803968, f6=115258, f7=4981211, f8=-0.7682546613236668, f9=-36.87622374353601, f10=276143716
x=49, f1=2746, f2=149, f3=2401, f4=117649, f5=282475249, f6=122510, f7=5416618, f8=-0.9537526527594719, f9=-46.733879985214124, f10=305647400
x=50, f1=2852, f2=152, f3=2500, f4=125000, f5=312500000, f6=130060, f7=5879961, f8=-0.26237485370392877, f9=-13.118742685196437, f10=337620100
